2024,Institution,Location,Score,Subject
=342,Universidad_Autnoma_Metropolitana_UAM,Mexico,65.0,Arts__Humanities
=342,University_of_Colorado_Boulder,United_States,65.0,Arts__Humanities
=342,Vanderbilt_University,United_States,65.0,Arts__Humanities
=347,Kyushu_University,Japan,64.9,Arts__Humanities
=347,University_of_Jordan,Jordan,64.9,Arts__Humanities
=347,University_of_Kansas,United_States,64.9,Arts__Humanities
=347,Ural_Federal_University__UrFU,Russia,64.9,Arts__Humanities
=351,Abai_Kazakh_National_Pedagogical_University,Kazakhstan,64.8,Arts__Humanities
=351,University_of_the_Philippines,Philippines,64.8,Arts__Humanities
=353,cole_Normale_Suprieure_de_Lyon,France,64.7,Arts__Humanities
=353,Pontificia_Universidad_Catlica_de_Valparaso,Chile,64.7,Arts__Humanities
=353,Xiamen_University,China_Mainland,64.7,Arts__Humanities
=356,Kingston_University_London,United_Kingdom,64.6,Arts__Humanities
=356,La_Trobe_University,Australia,64.6,Arts__Humanities
=356,University_of_Turku,Finland,64.6,Arts__Humanities
=359,RuhrUniversitt_Bochum,Germany,64.5,Arts__Humanities
=359,Universidad_de_Antioquia,Colombia,64.5,Arts__Humanities
=359,University_of_Iowa,United_States,64.5,Arts__Humanities
=362,Aalborg_University,Denmark,64.4,Arts__Humanities
=362,East_China_Normal_University,China_Mainland,64.4,Arts__Humanities
=364,Florida_State_University,United_States,64.3,Arts__Humanities
=364,Nottingham_Trent_University,United_Kingdom,64.3,Arts__Humanities
=364,University_of_Surrey,United_Kingdom,64.3,Arts__Humanities
=367,American_University,United_States,64.2,Arts__Humanities
=367,Lingnan_University_Hong_Kong,Hong_Kong_SAR,64.2,Arts__Humanities
=367,Universitt_Konstanz,Germany,64.2,Arts__Humanities
=370,Norwegian_University_of_Science_And_Technology,Norway,64.1,Arts__Humanities
=370,Universit_du_Qubec,Canada,64.1,Arts__Humanities
=370,Universit_Lumire_Lyon_2,France,64.1,Arts__Humanities
=370,University_of_Oregon,United_States,64.1,Arts__Humanities
=370,University_of_Southern_Denmark_SDU,Denmark,64.1,Arts__Humanities
=375,American_University_of_Sharjah,United_Arab_Emirates,64.0,Arts__Humanities
=375,Kazan_Volga_region_Federal_University,Russia,64.0,Arts__Humanities
=375,Pontifcia_Universidade_Catlica_do_Rio_de_Janeiro,Brazil,64.0,Arts__Humanities
=375,Universit_de_Toulouse_IILe_Mirail,France,64.0,Arts__Humanities
=375,Vilnius_University_,Lithuania,64.0,Arts__Humanities
=380,Bauman_Moscow_State_Technical_University,Russia,63.9,Arts__Humanities
=380,Vrije_Universiteit_Brussel_VUB,Belgium,63.9,Arts__Humanities
382,Universit_Laval,Canada,63.8,Arts__Humanities
=383,Colegio_de_Mxico,Mexico,63.7,Arts__Humanities
=383,KTH_Royal_Institute_of_Technology_,Sweden,63.7,Arts__Humanities
=383,RWTH_Aachen_University,Germany,63.7,Arts__Humanities
=383,Shandong_University,China_Mainland,63.7,Arts__Humanities
=383,Universidade_Federal_do_Rio_Grande_Do_Sul_,Brazil,63.7,Arts__Humanities
=383,University_of_California_Riverside,United_States,63.7,Arts__Humanities
=383,University_of_Limerick,Ireland,63.7,Arts__Humanities
=383,University_of_Science_and_Technology_of_China,China_Mainland,63.7,Arts__Humanities
391,University_of_Pretoria,South_Africa,63.6,Arts__Humanities
=392,BabesBolyai_University,Romania,63.5,Arts__Humanities
=392,HeriotWatt_University,United_Kingdom,63.5,Arts__Humanities
=392,Ko_University,Turkey,63.5,Arts__Humanities
=392,Sichuan_University,China_Mainland,63.5,Arts__Humanities
=392,Universidade_de_Santiago_de_Compostela,Spain,63.5,Arts__Humanities
=392,University_of_the_Basque_Country,Spain,63.5,Arts__Humanities
=398,Beijing_Foreign_Studies_University,China_Mainland,63.4,Arts__Humanities
=398,Bilkent_University,Turkey,63.4,Arts__Humanities
=398,Universidad_Nacional_de_Crdoba__UNC,Argentina,63.4,Arts__Humanities
=398,University_of_Trento,Italy,63.4,Arts__Humanities
401-450,Adam_Mickiewicz_University_Pozna,Poland,,Arts__Humanities
401-450,Auckland_University_of_Technology_AUT,New_Zealand,,Arts__Humanities
401-450,Carleton_University,Canada,,Arts__Humanities
401-450,ChristianAlbrechtsUniversity_zu_Kiel,Germany,,Arts__Humanities
401-450,Dalhousie_University,Canada,,Arts__Humanities
401-450,De_La_Salle_University,Philippines,,Arts__Humanities
401-450,Essex_University_of,United_Kingdom,,Arts__Humanities
401-450,FriedrichAlexanderUniversitt_ErlangenNrnberg,Germany,,Arts__Humanities
401-450,Georgia_State_University,United_States,,Arts__Humanities
401-450,Hacettepe_University_,Turkey,,Arts__Humanities
401-450,Indian_Institute_of_Technology_Kanpur_IITK,India,,Arts__Humanities
401-450,Indian_Institute_of_Technology_Madras_IITM,India,,Arts__Humanities
401-450,Lebanese_University,Lebanon,,Arts__Humanities
401-450,Mahidol_University,Thailand,,Arts__Humanities
401-450,Nankai_University,China_Mainland,,Arts__Humanities
401-450,Plekhanov_Russian_University_of_Economics,Russia,,Arts__Humanities
401-450,Pontificia_Universidad_Catlica_Argentina,Argentina,,Arts__Humanities
401-450,Qatar_University,Qatar,,Arts__Humanities
401-450,Ryerson_University,Canada,,Arts__Humanities
401-450,Shanghai_University,China_Mainland,,Arts__Humanities
401-450,Sophia_University_,Japan,,Arts__Humanities
401-450,Swinburne_University_of_Technology,Australia,,Arts__Humanities
